 YR   MON  NINO1+2  ANOM   NINO3    ANOM   NINO4    ANOM   NINO3.4  ANOM
1954   3   25.33   -1.05   26.85   -0.28   27.89   -0.28   27.21   -0.02
1954   4   22.97   -2.60   25.85   -1.57   28.20   -0.19   26.87   -0.80
1954   5   21.73   -2.69   25.67   -1.44   28.40   -0.30   27.06   -0.71
1954   6   20.77   -2.30   25.20   -1.27   28.32   -0.35   26.93   -0.60
1954   7   19.52   -2.46   24.47   -1.17   28.00   -0.61   26.37   -0.74
1954   8   19.33   -1.68   23.83   -1.23   27.76   -0.73   25.73   -1.02
1954   9   18.95   -1.82   23.51   -1.43   27.61   -0.90   25.38   -1.33
1954  10   19.11   -1.96   23.63   -1.31   27.54   -0.97   25.51   -1.13
1954  11   20.27   -1.47   23.86   -1.19   27.53   -0.92   25.67   -0.93
1954  12   21.30   -1.61   23.79   -1.42   27.61   -0.74   25.37   -1.20
1955   1   23.75   -0.79   24.79   -0.86   27.60   -0.56   25.54   -1.02
1955   2   24.82   -1.10   25.76   -0.62   27.30   -0.77   25.90   -0.84
1955   3   25.14   -1.23   26.35   -0.78   27.37   -0.81   26.37   -0.86
1955   4   24.22   -1.35   26.32   -1.11   27.82   -0.57   26.66   -1.01
1955   5   22.16   -2.26   25.52   -1.58   28.03   -0.66   26.66   -1.11
1955   6   21.20   -1.87   25.08   -1.39   28.08   -0.59   26.56   -0.97
1955   7   20.46   -1.52   24.55   -1.10   28.14   -0.47   26.31   -0.80
1955   8   19.63   -1.38   23.69   -1.37   27.94   -0.55   25.60   -1.15
1955   9   19.24   -1.53   23.36   -1.57   27.71   -0.81   25.63   -1.07
1955  10   19.16   -1.91   22.71   -2.24   27.22   -1.29   24.66   -1.98
1955  11   19.84   -1.90   22.66   -2.39   26.79   -1.66   24.29   -2.32
1955  12   21.19   -1.71   23.08   -2.13   27.20   -1.15   24.58   -1.99
1956   1   23.24   -1.30   24.47   -1.18   27.18   -0.97   25.28   -1.27
1956   2   24.71   -1.20   25.80   -0.57   27.27   -0.81   26.00   -0.73
1956   3   25.90   -0.47   26.84   -0.29   27.49   -0.68   26.62   -0.61
1956   4   24.66   -0.91   27.12   -0.30   27.72   -0.68   26.96   -0.70
1956   5   23.14   -1.28   26.63   -0.47   28.11   -0.58   27.23   -0.54
1956   6   22.04   -1.03   25.87   -0.60   28.22   -0.46   26.99   -0.54
1956   7   21.47   -0.51   24.82   -0.82   28.07   -0.54   26.37   -0.73
1956   8   20.55   -0.46   24.16   -0.90   27.67   -0.82   25.91   -0.84
1956   9   19.89   -0.88   23.97   -0.97   27.71   -0.80   25.91   -0.79
1956  10   19.69   -1.39   24.01   -0.94   27.92   -0.59   25.83   -0.81
1956  11   20.57   -1.17   23.91   -1.14   28.02   -0.43   25.64   -0.97
1956  12   21.58   -1.32   24.06   -1.15   28.09   -0.26   25.71   -0.86
1957   1   23.13   -1.40   25.05   -0.60   28.03   -0.12   26.09   -0.47
1957   2   26.30    0.38   26.23   -0.15   28.10    0.02   26.58   -0.16
1957   3   27.63    1.26   27.55    0.42   28.33    0.16   27.65    0.41
1957   4   27.15    1.59   27.94    0.51   28.86    0.47   28.34    0.68
1957   5   26.72    2.30   27.81    0.71   29.15    0.46   28.59    0.82
1957   6   25.04    1.97   27.30    0.84   28.83    0.16   28.28    0.75
1957   7   23.83    1.85   26.95    1.31   28.73    0.12   28.11    1.00
1957   8   22.34    1.33   26.14    1.08   28.91    0.41   27.75    1.00
1957   9   21.80    1.03   25.71    0.77   28.96    0.45   27.54    0.84
1957  10   21.80    0.73   25.68    0.74   29.12    0.61   27.49    0.85
1957  11   22.39    0.65   26.23    1.18   29.12    0.67   27.79    1.19
1957  12   23.69    0.78   26.64    1.43   29.08    0.74   28.08    1.51
1958   1   24.89    0.35   27.04    1.38   29.26    1.10   28.37    1.81
1958   2   26.55    0.63   27.57    1.20   29.28    1.21   28.41    1.68
1958   3   27.09    0.72   27.85    0.72   29.04    0.86   28.34    1.11
1958   4   26.37    0.80   27.86    0.44   29.04    0.65   28.35    0.69
1958   5   24.71    0.29   27.39    0.28   29.21    0.52   28.35    0.57
1958   6   23.23    0.16   26.70    0.23   29.13    0.46   28.05    0.52
1958   7   22.31    0.33   25.73    0.09   28.89    0.28   27.48    0.37
1958   8   20.72   -0.29   24.97   -0.08   28.53    0.04   26.90    0.15
1958   9   20.62   -0.14   24.45   -0.48   28.50   -0.02   26.50   -0.20
1958  10   21.05   -0.02   24.65   -0.30   28.68    0.17   26.61   -0.03
1958  11   21.52   -0.22   25.06    0.01   28.79    0.34   26.89    0.29
1958  12   22.50   -0.40   25.02   -0.19   28.76    0.41   26.77    0.20
1959   1   23.97   -0.57   25.75    0.10   28.63    0.48   27.14    0.58
1959   2   25.90   -0.01   26.50    0.13   28.38    0.31   27.25    0.51
1959   3   26.94    0.56   27.17    0.04   28.48    0.31   27.55    0.32
1959   4   25.84    0.27   27.56    0.14   28.75    0.36   27.93    0.27
1959   5   24.23   -0.19   26.94   -0.16   28.85    0.16   27.80    0.03
1959   6   22.57   -0.50   26.07   -0.39   28.39   -0.28   27.34   -0.19
1959   7   21.50   -0.47   24.94   -0.71   28.30   -0.31   26.56   -0.55
1959   8   20.15   -0.86   24.40   -0.66   28.27   -0.22   26.32   -0.43
1959   9   20.23   -0.54   24.37   -0.57   28.19   -0.32   26.17   -0.53
1959  10   20.86   -0.21   24.67   -0.28   28.21   -0.30   26.42   -0.22
1959  11   21.88    0.14   24.74   -0.31   28.12   -0.34   26.32   -0.28
1959  12   22.55   -0.36   24.94   -0.27   28.07   -0.27   26.44   -0.13
1960   1   24.40   -0.14   25.34   -0.32   27.77   -0.38   26.25   -0.31
1960   2   25.59   -0.32   25.87   -0.50   27.49   -0.58   26.27   -0.47
1960   3   26.01   -0.36   26.75   -0.38   27.77   -0.40   26.97   -0.26
1960   4   24.66   -0.91   27.03   -0.39   28.08   -0.31   27.51   -0.16
1960   5   23.53   -0.89   26.66   -0.45   28.52   -0.18   27.62   -0.16
1960   6   21.83   -1.24   25.95   -0.52   28.35   -0.32   27.24   -0.29
1960   7   20.73   -1.25   25.38   -0.26   28.31   -0.30   27.07   -0.04
1960   8   20.10   -0.91   24.95   -0.11   28.19   -0.30   26.85    0.10
1960   9   20.56   -0.20   24.70   -0.24   28.32   -0.20   26.60   -0.11
1960  10   20.27   -0.80   24.24   -0.71   28.33   -0.17   26.35   -0.29
1960  11   20.93   -0.81   24.31   -0.75   28.37   -0.09   26.34   -0.26
1960  12   22.74   -0.17   24.73   -0.48   28.36    0.02   26.41   -0.16
1961   1   24.58    0.04   25.19   -0.46   27.94   -0.21   26.38   -0.17
1961   2   26.66    0.75   26.25   -0.13   27.85   -0.23   26.61   -0.13
1961   3   25.95   -0.42   26.83   -0.30   27.92   -0.26   27.00   -0.24
1961   4   25.17   -0.40   27.40   -0.02   27.96   -0.43   27.50   -0.16
1961   5   23.60   -0.82   27.08   -0.02   28.38   -0.31   27.85    0.08
1961   6   22.36   -0.71   26.37   -0.10   28.49   -0.18   27.86    0.33
1961   7   20.52   -1.46   24.95   -0.70   28.33   -0.28   27.16    0.05
1961   8   19.97   -1.04   24.20   -0.86   28.12   -0.37   26.43   -0.32
1961   9   19.70   -1.07   23.65   -1.29   28.19   -0.33   25.97   -0.73
1961  10   20.07   -1.01   23.89   -1.06   28.09   -0.42   25.94   -0.71
1961  11   21.09   -0.65   24.38   -0.67   28.26   -0.19   26.20   -0.40
1961  12   22.11   -0.80   24.75   -0.46   28.06   -0.28   26.20   -0.37
1962   1   24.02   -0.52   25.23   -0.42   27.66   -0.49   26.12   -0.43
1962   2   25.35   -0.56   26.07   -0.31   27.57   -0.51   26.28   -0.46
1962   3   24.47   -1.90   26.49   -0.64   27.83   -0.34   26.80   -0.44
1962   4   23.43   -2.14   26.59   -0.83   28.19   -0.20   27.22   -0.44
1962   5   23.03   -1.39   26.28   -0.82   28.23   -0.47   27.23   -0.54
1962   6   21.81   -1.26   25.83   -0.64   28.30   -0.37   27.18   -0.35
1962   7   20.60   -1.37   25.21   -0.44   28.24   -0.37   26.93   -0.17
1962   8   20.17   -0.84   24.72   -0.33   28.15   -0.34   26.52   -0.23
1962   9   20.02   -0.75   24.20   -0.74   28.11   -0.40   26.07   -0.63
1962  10   20.14   -0.93   24.23   -0.72   28.10   -0.41   26.06   -0.58
1962  11   20.99   -0.75   24.10   -0.95   28.12   -0.33   25.88   -0.72
1962  12   21.82   -1.09   24.12   -1.09   27.96   -0.38   25.75   -0.82
1963   1   23.81   -0.73   24.96   -0.69   27.74   -0.41   25.86   -0.69
1963   2   25.36   -0.55   25.91   -0.47   27.70   -0.38   26.39   -0.35
1963   3   26.02   -0.36   27.06   -0.07   28.01   -0.16   27.31    0.08
1963   4   24.67   -0.90   27.66    0.23   28.28   -0.11   27.87    0.20
1963   5   23.97   -0.45   27.10    0.00   28.40   -0.30   27.71   -0.06
1963   6   22.41   -0.66   26.74    0.27   28.38   -0.29   27.69    0.16
1963   7   21.80   -0.18   26.36    0.71   28.72    0.11   27.91    0.80
1963   8   21.31    0.30   25.80    0.74   29.01    0.51   27.63    0.88
1963   9   21.00    0.23   25.41    0.48   29.03    0.52   27.47    0.76
1963  10   21.13    0.06   25.58    0.63   29.07    0.56   27.56    0.92
1963  11   21.64   -0.10   25.83    0.78   29.11    0.66   27.61    1.00
1963  12   22.55   -0.35   26.08    0.87   28.87    0.52   27.71    1.14
1964   1   24.15   -0.39   26.07    0.42   28.70    0.55   27.43    0.87
1964   2   25.08   -0.83   26.41    0.04   28.39    0.31   27.27    0.53
1964   3   25.30   -1.08   26.76   -0.37   28.08   -0.09   27.10   -0.13
1964   4   24.61   -0.96   26.34   -1.09   28.24   -0.15   27.06   -0.60
1964   5   21.93   -2.49   25.56   -1.54   28.39   -0.30   26.94   -0.84
1964   6   21.44   -1.63   25.10   -1.37   28.06   -0.61   26.66   -0.87
1964   7   20.25   -1.72   24.82   -0.82   27.87   -0.74   26.42   -0.69
1964   8   19.48   -1.53   23.73   -1.33   27.64   -0.85   25.74   -1.01
1964   9   19.67   -1.10   23.89   -1.04   27.38   -1.13   25.49   -1.22
1964  10   19.79   -1.28   23.95   -0.99   27.38   -1.13   25.53   -1.11
1964  11   20.88   -0.86   24.04   -1.02   27.34   -1.11   25.40   -1.20
1964  12   21.83   -1.08   23.86   -1.35   27.25   -1.10   25.42   -1.15
1965   1   24.22   -0.32   24.84   -0.81   27.57   -0.59   25.78   -0.77
1965   2   26.17    0.26   25.96   -0.41   27.77   -0.31   26.37   -0.37
1965   3   26.71    0.33   27.07   -0.06   27.93   -0.24   27.12   -0.11
1965   4   27.01    1.45   27.66    0.23   28.06   -0.33   27.62   -0.05
1965   5   26.09    1.67   27.68    0.57   28.70    0.01   28.07    0.29
1965   6   24.60    1.54   27.24    0.78   29.02    0.35   28.19    0.66
1965   7   23.26    1.29   26.64    0.99   29.08    0.47   28.02    0.91
1965   8   22.54    1.53   26.25    1.20   29.19    0.70   28.07    1.32
1965   9   21.26    0.49   26.07    1.13   29.11    0.60   28.03    1.32
1965  10   21.57    0.50   26.15    1.21   29.30    0.80   28.26    1.62
1965  11   22.29    0.55   26.50    1.45   29.17    0.72   28.29    1.69
1965  12   23.35    0.44   26.59    1.38   29.03    0.68   28.07    1.50
1966   1   25.15    0.62   26.70    1.05   28.87    0.71   27.75    1.19
1966   2   25.88   -0.03   26.86    0.49   28.85    0.78   27.66    0.92
1966   3   25.35   -1.02   27.26    0.13   29.18    1.01   28.22    0.99
1966   4   24.26   -1.31   27.40   -0.03   28.99    0.60   28.24    0.58
1966   5   22.92   -1.50   26.28   -0.82   29.08    0.39   27.67   -0.10
1966   6   21.80   -1.27   26.08   -0.39   29.13    0.46   27.77    0.24
1966   7   20.85   -1.13   25.42   -0.22   29.03    0.42   27.42    0.31
1966   8   20.17   -0.84   24.51   -0.55   28.76    0.27   26.65   -0.10
1966   9   20.04   -0.73   24.17   -0.77   28.71    0.20   26.49   -0.22
1966  10   20.51   -0.56   24.42   -0.53   28.57    0.06   26.40   -0.25
1966  11   21.03   -0.71   24.26   -0.79   28.65    0.20   26.42   -0.19
1966  12   22.25   -0.66   24.30   -0.91   28.27   -0.07   26.21   -0.36
1967   1   23.66   -0.88   25.09   -0.56   27.69   -0.46   26.18   -0.38
1967   2   25.54   -0.37   26.09   -0.28   27.48   -0.60   26.35   -0.39
1967   3   25.55   -0.83   26.46   -0.67   27.78   -0.39   26.67   -0.56
1967   4   24.98   -0.59   26.46   -0.96   28.40    0.01   26.91   -0.76
1967   5   23.77   -0.65   26.69   -0.41   28.80    0.11   27.49   -0.28
1967   6   22.04   -1.03   26.40   -0.07   28.69    0.02   27.62    0.09
1967   7   21.10   -0.88   25.32   -0.32   28.62    0.01   27.17    0.06
1967   8   19.84   -1.17   24.30   -0.76   28.42   -0.07   26.62   -0.13
1967   9   19.08   -1.68   23.69   -1.25   28.19   -0.32   26.10   -0.60
1967  10   19.47   -1.60   23.80   -1.14   28.32   -0.19   26.19   -0.45
1967  11   20.20   -1.54   24.01   -1.04   28.43   -0.02   26.26   -0.34
1967  12   21.28   -1.62   24.14   -1.07   28.27   -0.08   26.10   -0.47
1968   1   23.19   -1.35   24.40   -1.25   27.92   -0.24   25.78   -0.78
1968   2   24.88   -1.04   25.00   -1.38   27.80   -0.28   25.79   -0.95
1968   3   25.11   -1.27   25.86   -1.27   27.87   -0.30   26.38   -0.85
1968   4   23.97   -1.60   26.57   -0.85   28.16   -0.24   27.09   -0.58
1968   5   22.44   -1.98   26.19   -0.92   28.30   -0.40   27.15   -0.62
1968   6   21.70   -1.36   26.22   -0.25   28.90    0.23   27.69    0.16
1968   7   21.25   -0.72   26.00    0.35   28.70    0.09   27.61    0.51
1968   8   20.97   -0.04   25.28    0.22   28.68    0.19   27.12    0.37
1968   9   21.23    0.46   24.96    0.02   28.66    0.15   26.90    0.19
1968  10   21.12    0.05   25.17    0.22   28.77    0.26   26.99    0.34
1968  11   21.68   -0.06   25.35    0.29   29.17    0.72   27.38    0.78
1968  12   23.20    0.29   25.79    0.58   29.17    0.83   27.42    0.85
1969   1   24.67    0.13   26.27    0.62   29.11    0.95   27.55    0.99
1969   2   25.56   -0.36   26.92    0.54   29.28    1.20   27.95    1.21
1969   3   27.09    0.72   27.63    0.50   28.99    0.82   28.02    0.79
1969   4   26.66    1.10   27.94    0.52   29.03    0.64   28.39    0.73
1969   5   26.07    1.65   27.92    0.81   29.21    0.52   28.50    0.73
1969   6   24.39    1.32   27.05    0.58   29.09    0.42   27.99    0.46
1969   7   22.47    0.50   25.84    0.19   28.85    0.24   27.30    0.20
1969   8   21.06    0.05   25.41    0.35   28.93    0.44   27.16    0.41
1969   9   20.88    0.12   25.46    0.52   29.14    0.63   27.34    0.63
1969  10   21.74    0.67   25.69    0.75   29.20    0.69   27.50    0.86
1969  11   22.47    0.73   25.75    0.70   29.20    0.75   27.35    0.74
1969  12   23.60    0.69   26.16    0.95   28.87    0.52   27.30    0.73
1970   1   25.02    0.48   26.38    0.73   28.57    0.42   27.05    0.50
1970   2   25.76   -0.16   26.52    0.14   28.57    0.50   27.02    0.29
1970   3   25.53   -0.85   26.97   -0.16   28.52    0.35   27.35    0.12
1970   4   24.76   -0.81   27.20   -0.23   28.73    0.34   27.96    0.29
1970   5   22.94   -1.48   26.44   -0.66   28.97    0.28   27.77    0.00
1970   6   21.27   -1.80   25.30   -1.17   28.75    0.08   27.14   -0.39
1970   7   19.69   -2.28   24.18   -1.47   28.66    0.05   26.48   -0.63
1970   8   19.27   -1.74   23.69   -1.37   28.16   -0.34   25.86   -0.89
1970   9   19.50   -1.26   23.89   -1.05   27.88   -0.64   25.86   -0.84
1970  10   20.16   -0.91   23.80   -1.14   27.86   -0.65   25.79   -0.85
1970  11   20.61   -1.13   23.78   -1.28   27.91   -0.54   25.83   -0.77
1970  12   21.77   -1.13   24.01   -1.20   27.44   -0.91   25.47   -1.10
1971   1   23.33   -1.21   24.19   -1.47   26.94   -1.21   25.09   -1.46
1971   2   24.58   -1.34   24.91   -1.47   27.07   -1.00   25.40   -1.34
1971   3   25.24   -1.13   26.01   -1.11   27.25   -0.92   26.10   -1.13
1971   4   24.95   -0.62   26.61   -0.81   27.63   -0.76   26.78   -0.89
1971   5   23.29   -1.13   26.26   -0.85   28.02   -0.67   27.06   -0.71
1971   6   21.60   -1.47   25.44   -1.03   28.03   -0.64   26.70   -0.83
1971   7   21.01   -0.96   24.78   -0.86   27.93   -0.68   26.29   -0.82
1971   8   19.97   -1.04   23.90   -1.16   27.84   -0.66   25.99   -0.76
1971   9   19.74   -1.03   23.92   -1.02   27.75   -0.77   25.94   -0.76
1971  10   19.88   -1.19   23.73   -1.21   27.80   -0.71   25.65   -0.99
1971  11   20.94   -0.80   23.93   -1.12   27.87   -0.58   25.69   -0.91
1971  12   21.99   -0.92   23.92   -1.29   27.98   -0.36   25.55   -1.02
1972   1   24.51   -0.03   25.02   -0.63   27.97   -0.19   25.84   -0.72
1972   2   26.66    0.75   26.04   -0.34   28.15    0.07   26.42   -0.32
1972   3   27.09    0.72   27.12   -0.01   28.36    0.19   27.21   -0.02
1972   4   26.25    0.68   27.78    0.35   28.82    0.43   27.93    0.26
1972   5   25.47    1.05   27.62    0.52   29.21    0.52   28.27    0.49
1972   6   25.01    1.95   27.37    0.90   29.19    0.52   28.23    0.70
1972   7   24.11    2.13   27.14    1.49   29.09    0.48   28.18    1.07
1972   8   23.42    2.41   26.86    1.81   28.92    0.43   28.10    1.35
1972   9   22.12    1.35   26.48    1.54   29.10    0.58   28.10    1.40
1972  10   22.58    1.51   26.83    1.89   29.44    0.93   28.46    1.82
1972  11   23.32    1.58   27.17    2.11   29.48    1.03   28.69    2.09
1972  12   24.89    1.99   27.60    2.39   29.35    1.00   28.81    2.24
1973   1   26.03    1.49   27.52    1.86   29.03    0.88   28.44    1.88
1973   2   26.48    0.56   27.24    0.87   28.77    0.70   28.00    1.26
1973   3   26.27   -0.10   27.37    0.24   28.52    0.35   27.71    0.48
1973   4   24.87   -0.70   26.87   -0.55   28.39    0.00   27.39   -0.28
1973   5   23.44   -0.98   26.06   -1.04   28.51   -0.18   27.13   -0.65
1973   6   21.76   -1.31   25.34   -1.12   28.23   -0.44   26.74   -0.79
1973   7   20.84   -1.14   24.31   -1.34   28.01   -0.60   25.95   -1.16
1973   8   19.47   -1.54   23.69   -1.36   27.65   -0.84   25.46   -1.29
1973   9   19.49   -1.28   23.56   -1.38   27.53   -0.98   25.32   -1.39
1973  10   19.80   -1.27   23.49   -1.46   27.32   -1.19   25.03   -1.61
1973  11   20.71   -1.03   23.35   -1.71   26.97   -1.48   24.50   -2.11
1973  12   21.74   -1.17   23.40   -1.81   26.69   -1.65   24.43   -2.14
1974   1   23.29   -1.25   23.93   -1.72   26.50   -1.65   24.52   -2.04
1974   2   24.87   -1.04   25.11   -1.27   26.87   -1.21   25.12   -1.61
1974   3   25.69   -0.68   26.28   -0.85   27.21   -0.96   25.91   -1.32
1974   4   25.28   -0.29   26.84   -0.58   27.46   -0.93   26.63   -1.03
1974   5   24.35   -0.07   26.56   -0.54   27.94   -0.75   26.84   -0.93
1974   6   22.48   -0.58   25.91   -0.55   27.97   -0.70   26.71   -0.82
1974   7   21.58   -0.40   25.30   -0.35   27.83   -0.78   26.48   -0.63
1974   8   20.73   -0.28   24.82   -0.24   27.97   -0.52   26.37   -0.38
1974   9   20.15   -0.62   24.38   -0.56   27.91   -0.61   26.23   -0.47
1974  10   19.88   -1.19   24.14   -0.81   27.74   -0.77   25.92   -0.73
1974  11   20.68   -1.06   24.07   -0.98   27.72   -0.73   25.63   -0.97
1974  12   21.41   -1.50   24.31   -0.90   27.61   -0.74   25.70   -0.87
1975   1   23.55   -0.99   25.34   -0.31   27.86   -0.30   26.18   -0.37
1975   2   24.95   -0.97   25.74   -0.64   27.96   -0.12   26.22   -0.52
1975   3   26.06   -0.32   26.49   -0.64   27.76   -0.41   26.44   -0.79
1975   4   25.53   -0.04   27.08   -0.34   27.83   -0.56   26.99   -0.67
1975   5   23.71   -0.72   26.27   -0.83   27.95   -0.74   26.97   -0.80
1975   6   21.84   -1.22   25.29   -1.18   27.71   -0.96   26.29   -1.24
1975   7   21.05   -0.92   24.72   -0.93   27.57   -1.04   25.98   -1.12
1975   8   19.97   -1.04   24.15   -0.91   27.29   -1.21   25.47   -1.28
1975   9   19.14   -1.63   23.67   -1.27   26.91   -1.60   25.20   -1.50
1975  10   19.17   -1.90   23.40   -1.54   26.76   -1.75   24.87   -1.77
1975  11   19.44   -2.30   23.73   -1.33   26.80   -1.66   25.10   -1.50
1975  12   21.05   -1.85   23.39   -1.82   26.84   -1.50   24.76   -1.81
1976   1   23.51   -1.02   23.91   -1.74   26.92   -1.23   24.72   -1.84
1976   2   25.36   -0.56   25.31   -1.07   27.19   -0.89   25.58   -1.16
1976   3   25.88   -0.49   26.46   -0.66   27.56   -0.61   26.61   -0.62
1976   4   25.72    0.15   26.94   -0.49   27.98   -0.42   26.99   -0.67
1976   5   25.11    0.69   26.98   -0.12   28.32   -0.37   27.27   -0.50
1976   6   24.46    1.39   26.95    0.48   28.32   -0.35   27.34   -0.19
1976   7   23.30    1.33   26.29    0.65   28.42   -0.19   27.26    0.16
1976   8   21.91    0.90   25.87    0.81   28.34   -0.15   27.09    0.34
1976   9   21.56    0.79   25.76    0.83   28.50   -0.01   27.12    0.42
1976  10   21.69    0.62   25.97    1.03   28.82    0.31   27.48    0.84
1976  11   22.14    0.40   25.93    0.87   28.92    0.47   27.42    0.82
1976  12   23.29    0.39   25.91    0.70   28.45    0.10   27.17    0.60
1977   1   24.93    0.39   26.57    0.92   28.38    0.23   27.31    0.76
1977   2   25.79   -0.13   27.03    0.65   28.11    0.04   27.15    0.41
1977   3   26.13   -0.24   27.51    0.38   28.28    0.10   27.57    0.34
1977   4   25.29   -0.28   27.02   -0.41   28.50    0.10   27.61   -0.05
1977   5   23.88   -0.54   27.04   -0.06   28.78    0.09   27.97    0.19
1977   6   22.70   -0.37   26.56    0.09   28.97    0.30   27.96    0.43
1977   7   21.63   -0.34   25.70    0.05   29.13    0.52   27.56    0.45
1977   8   20.25   -0.76   24.81   -0.25   28.87    0.38   26.93    0.18
1977   9   19.82   -0.95   24.97    0.04   28.98    0.47   27.21    0.50
1977  10   20.61   -0.46   25.34    0.39   28.96    0.45   27.37    0.73
1977  11   21.29   -0.45   25.41    0.35   29.10    0.65   27.28    0.67
1977  12   22.47   -0.44   25.54    0.33   29.11    0.76   27.37    0.80
1978   1   24.32   -0.22   25.92    0.27   28.80    0.65   27.32    0.77
1978   2   25.77   -0.15   26.46    0.09   28.48    0.41   27.17    0.43
1978   3   25.39   -0.98   26.83   -0.30   28.26    0.09   27.24    0.01
1978   4   24.73   -0.84   26.66   -0.77   28.28   -0.11   27.26   -0.41
1978   5   23.15   -1.27   26.13   -0.97   28.72    0.03   27.36   -0.42
1978   6   21.89   -1.18   25.68   -0.79   28.56   -0.11   27.16   -0.37
1978   7   21.01   -0.96   25.08   -0.57   28.26   -0.35   26.81   -0.29
1978   8   19.66   -1.35   24.35   -0.71   28.25   -0.24   26.23   -0.52
1978   9   19.98   -0.79   24.33   -0.61   28.43   -0.08   26.20   -0.50
1978  10   20.22   -0.86   24.72   -0.22   28.35   -0.16   26.40   -0.24
1978  11   21.62   -0.12   24.94   -0.11   28.37   -0.09   26.43   -0.17
1978  12   22.94    0.03   25.34    0.13   28.27   -0.08   26.48   -0.09
1979   1   24.71    0.17   25.43   -0.23   28.40    0.25   26.45   -0.11
1979   2   25.60   -0.32   26.19   -0.19   28.22    0.14   26.60   -0.13
1979   3   25.93   -0.44   27.25    0.12   28.26    0.09   27.48    0.25
