                 STATE             ST_ABB     YR       P_CAP         HWY        WATER       UTIL          PC         GSP       EMP      UNEMP
                 COLORADO            CO      1974     12964.14     5143.73     2312.49     5507.92     28763.31     33039      959.7      3.8
                 COLORADO            CO      1975     13483.92     5223.11     2464.28     5796.53     29939.43     33593      963.5      6.9
                 COLORADO            CO      1976     14090.24     5318.10     2617.61     6154.52     34680.90     35223     1003.4      5.9
                 COLORADO            CO      1977     14736.89     5463.79     2747.31     6525.79     35116.03     37429     1058.1      6.2
                 COLORADO            CO      1978     15240.49     5598.49     2887.92     6754.09     36213.58     40522     1150.0      5.6
                 COLORADO            CO      1979     15711.11     5705.99     3078.37     6926.75     37674.72     42917     1218.0      4.8
                 COLORADO            CO      1980     16272.57     5766.89     3274.49     7231.19     39349.98     43888     1251.1      5.9
                 COLORADO            CO      1981     16692.71     5820.52     3564.34     7307.84     45660.95     44695     1295.2      5.5
                 COLORADO            CO      1982     17027.51     5846.02     3719.04     7462.46     47010.56     45252     1316.6      7.7
                 COLORADO            CO      1983     17388.99     5877.85     3898.86     7612.28     47724.11     46523     1327.2      6.6
                 COLORADO            CO      1984     17785.25     5942.80     4000.29     7842.15     48372.91     49332     1402.3      5.6
                 COLORADO            CO      1985     18327.11     6057.50     4153.07     8116.55     49793.31     50820     1418.7      5.9
                 COLORADO            CO      1986     18889.54     6148.80     4340.24     8400.50     47485.05     51781     1408.3      7.4
                 CONNECTICUT         CT      1970     15865.66     7237.14     2208.10     6420.42     24082.38     38880     1197.5      5.6
                 CONNECTICUT         CT      1971     16559.99     7312.24     2406.84     6840.91     25147.44     38515     1164.3      8.9
                 CONNECTICUT         CT      1972     17346.79     7407.46     2642.54     7296.80     26191.58     40037     1190.4      8.2
                 CONNECTICUT         CT      1973     17803.12     7492.12     2741.16     7569.84     27301.99     42157     1238.7      5.7
                 CONNECTICUT         CT      1974     18225.20     7550.75     2881.00     7793.45     28832.91     41827     1264.0      6.2
                 CONNECTICUT         CT      1975     18686.78     7585.56     3027.33     8073.90     30306.10     39870     1223.4      9.1
                 CONNECTICUT         CT      1976     18871.06     7587.34     3104.13     8179.59     27628.42     41326     1239.7      9.5
                 CONNECTICUT         CT      1977     18798.54     7501.72     3166.91     8129.91     28268.33     42976     1282.3      7.0
                 CONNECTICUT         CT      1978     18566.24     7352.08     3194.03     8020.13     29207.04     44844     1346.1      5.3
                 CONNECTICUT         CT      1979     18487.06     7274.07     3294.94     7918.05     30449.45     46008     1398.0      5.1
                 CONNECTICUT         CT      1980     18385.98     7192.00     3387.26     7806.72     31844.08     45949     1426.8      5.9
                 CONNECTICUT         CT      1981     18271.34     7103.85     3396.82     7770.67     31895.65     47397     1438.7      6.2
                 CONNECTICUT         CT      1982     18030.08     7017.05     3371.93     7641.11     32967.44     47241     1429.8      6.9
                 CONNECTICUT         CT      1983     17739.88     6959.31     3332.92     7447.65     33668.53     50594     1446.5      6.0
                 CONNECTICUT         CT      1984     17494.36     6890.73     3300.44     7303.19     34439.31     55117     1520.5      4.6
                 CONNECTICUT         CT      1985     17317.13     6861.64     3313.05     7142.44     35816.37     58263     1562.3      4.9
                 CONNECTICUT         CT      1986     17290.61     6878.14     3314.55     7097.92     40413.22     61750     1604.2      3.8
                 DELAWARE            DE      1970      4250.95     2078.95      234.23     1937.77      6108.14      6863      216.8      4.8
                 DELAWARE            DE      1971      4405.91     2076.73      230.51     2098.67      6361.22      7399      224.9      5.7
                 DELAWARE            DE      1972      4560.71     2105.30      233.59     2221.82      6602.65      7829      232.4      4.7
                 DELAWARE            DE      1973      4725.12     2125.88      283.84     2315.40      6892.09      8604      239.4      4.6
                 DELAWARE            DE      1974      4927.52     2195.49      324.32     2407.71      7263.84      7777      233.1      6.0
                 DELAWARE            DE      1975      4988.37     2197.46      349.68     2441.23      7624.03      7625      229.9      9.7
                 DELAWARE            DE      1976      4959.87     2161.42      358.60     2439.86      7706.19      8061      236.7      8.9
                 DELAWARE            DE      1977      4958.47     2158.95      400.11     2399.41      7845.75      8313      238.8      8.4
                 DELAWARE            DE      1978      4954.21     2134.89      440.95     2378.38      8100.95      8390      247.8      7.5
                 DELAWARE            DE      1979      4936.91     2103.91      482.11     2350.89      8435.96      8360      256.7      8.0
                 DELAWARE            DE      1980      4868.74     2071.23      488.36     2309.14      8811.38      8200      259.2      7.7
                 DELAWARE            DE      1981      4825.97     2050.14      491.43     2284.40      9049.52      8344      259.2      7.9
                 DELAWARE            DE      1982      4786.37     2038.78      487.77     2259.82      9327.72      8435      259.2      8.5
                 DELAWARE            DE      1983      4768.17     2029.77      482.47     2255.93      9486.76      8883      266.1      8.1
                 DELAWARE            DE      1984      4743.86     2037.26      483.30     2223.30      9630.61      9347      280.0      6.2
                 DELAWARE            DE      1985      4731.49     2043.62      490.68     2197.20      9921.23      9699      293.4      5.3
                 DELAWARE            DE      1986      4716.73     2052.16      492.03     2172.53     10655.00     10072      303.2      4.3
                 FLORIDA             FL      1970     29696.86    12622.30     4174.89    12899.67     57178.05     69641     2152.1      4.4
                 FLORIDA             FL      1971     30683.09    12873.62     4282.97    13526.49     60238.01     73170     2276.4      4.9
                 FLORIDA             FL      1972     32089.12    13424.21     4318.05    14346.86     62873.97     81313     2513.1      4.5
                 FLORIDA             FL      1973     33480.99    13999.70     4268.38    15212.91     66432.27     90897     2778.6      4.3
                 FLORIDA             FL      1974     34650.29    14586.91     4281.73    15781.65     70452.68     92163     2863.8      6.2
                 FLORIDA             FL      1975     36103.75    15075.13     4446.11    16582.51     73809.64     89502     2746.4     11.0
                 FLORIDA             FL      1976     37942.61    15538.54     4726.01    17678.06     87196.50     90957     2784.3      9.0
                 FLORIDA             FL      1977     39393.89    15790.70     5404.47    18198.72     88699.63     95449     2933.2      8.2
                 FLORIDA             FL      1978     40859.40    15985.09     6123.84    18750.48     91517.51    103064     3180.6      6.6
                 FLORIDA             FL      1979     42107.13    16220.82     6625.71    19260.59     95108.50    109121     3381.2      6.0
                 FLORIDA             FL      1980     43192.98    16457.76     6998.35    19736.88     99248.64    113857     3576.2      5.9
                 FLORIDA             FL      1981     44311.68    16724.87     7430.67    20156.15    108486.86    118145     3736.0      6.8
                 FLORIDA             FL      1982     45492.00    16952.95     7814.59    20724.45    111867.96    118301     3761.9      8.2
                 FLORIDA             FL      1983     47116.82    17282.36     8183.58    21650.87    113951.55    126322     3905.4      8.6
                 FLORIDA             FL      1984     48538.98    17597.76     8483.89    22457.33    116417.20    136572     4204.2      6.3
                 FLORIDA             FL      1985     50336.63    17888.08     8767.52    23681.04    120719.68    145171     4410.0      6.0
                 FLORIDA             FL      1986     52309.37    18290.06     9172.05    24847.26    135673.02    152269     4599.4      5.7
                 GEORGIA             GA      1970     18270.44     7999.19     2092.77     8178.48     41597.80     43105     1557.5      4.1
                 GEORGIA             GA      1971     19275.62     8213.17     2148.43     8914.03     43732.94     45438     1602.9      3.9
                 GEORGIA             GA      1972     20167.45     8433.38     2165.53     9568.54     45402.82     49402     1695.2      4.1
                 GEORGIA             GA      1973     21015.05     8676.01     2267.56    10071.47     47422.01     52824     1802.5      3.9
                 GEORGIA             GA      1974     21882.27     9004.13     2519.94    10358.19     49969.83     52390     1827.5      5.0
                 GEORGIA             GA      1975     22713.54     9192.85     2797.47    10723.22     52261.84     50900     1755.7      8.6
                 GEORGIA             GA      1976     23556.37     9445.52     3029.37    11081.48     56287.82     54469     1839.1      8.1
                 GEORGIA             GA      1977     24124.15     9623.51     3177.03    11323.60     56992.14     58085     1926.4      6.9
                 GEORGIA             GA      1978     24622.13     9745.86     3240.48    11635.78     58642.67     61607     2050.1      5.7
                 GEORGIA             GA      1979     25631.20    10054.77     3347.57    12228.86     60866.47     63825     2127.5      5.1
                 GEORGIA             GA      1980     26685.37    10289.71     3461.48    12934.18     63341.08     64216     2159.4      6.4
                 GEORGIA             GA      1981     27546.85    10501.58     3574.39    13470.89     67537.87     66352     2198.6      6.4
                 GEORGIA             GA      1982     28209.03    10620.04     3669.58    13919.41     69347.75     66766     2201.5      7.8
                 GEORGIA             GA      1983     28996.86    10985.78     3808.70    14202.38     70436.24     71485     2279.5      7.5
                 GEORGIA             GA      1984     29702.75    11236.24     3896.84    14569.68     71624.33     78797     2448.7      6.0
                 GEORGIA             GA      1985     30068.26    11292.92     3926.96    14848.38     73979.66     83461     2569.8      6.5
                 GEORGIA             GA      1986     30991.33    11563.64     4024.23    15403.46     83458.28     88827     2672.4      5.9
                 IDAHO               ID      1970      3410.22     2193.99      267.56      948.67      9202.07      7175      207.8      5.8
                 IDAHO               ID      1971      3579.67     2276.68      256.47     1046.52      9488.47      7255      217.1      6.3
                 IDAHO               ID      1972      3676.22     2353.72      247.87     1074.64      9756.40      7898      236.5      6.2
                 IDAHO               ID      1973      3737.66     2399.18      236.98     1101.51     10251.95      8352      251.7      5.6
                 IDAHO               ID      1974      3813.94     2467.04      228.46     1118.44     10725.66      8970      266.8      6.0
                 IDAHO               ID      1975      3942.37     2531.40      229.86     1181.11     11134.59      9099      273.0      6.2
                 IDAHO               ID      1976      4105.58     2563.07      249.94     1292.56     12401.79      9709      291.0      5.7
                 IDAHO               ID      1977      4255.84     2606.65      271.88     1377.31     12498.22      9967      307.4      6.1
                 IDAHO               ID      1978      4398.05     2674.18      289.18     1434.70     12813.38     10828      331.3      5.6
                 IDAHO               ID      1979      4522.19     2724.98      298.74     1498.47     13264.09     10924      338.0      5.6
                 IDAHO               ID      1980      4605.70     2740.64      324.21     1540.85     13771.17     11002      330.0      7.9
                 IDAHO               ID      1981      4667.31     2753.25      337.06     1577.00     13808.97     10959      327.8      7.5
                 IDAHO               ID      1982      4699.95     2749.25      347.34     1603.36     14020.30     10432      312.2      9.9
                 IDAHO               ID      1983      4710.03     2756.72      359.68     1593.63     14028.64     10879      317.9      9.8
                 IDAHO               ID      1984      4769.76     2794.78      376.04     1598.95     14049.02     11262      330.5      7.2
                 IDAHO               ID      1985      4819.32     2838.03      382.94     1598.36     14290.67     11815      336.0      8.0
                 IDAHO               ID      1986      4890.92     2886.07      406.41     1598.44     13612.16     11672      328.2      8.7
                 ILLINOIS            IL      1970     52197.49    23582.87     6361.94    22252.68    114860.83    145792     4345.6      4.1
                 ILLINOIS            IL      1971     53805.62    23841.66     6579.10    23384.86    119783.11    148503     4296.4      5.1
                 ILLINOIS            IL      1972     55540.36    24602.76     6675.74    24261.85    124239.59    154413     4314.8      5.1
                 ILLINOIS            IL      1973     57288.30    25448.17     6807.99    25032.14    129514.10    163125     4466.9      4.1
                 ILLINOIS            IL      1974     58984.18    25806.09     7107.00    26071.09    136292.35    161725     4545.7      4.5
                 ILLINOIS            IL      1975     60139.25    26068.87     7342.22    26728.17    142558.62    157366     4418.9      7.1
                 ILLINOIS            IL      1976     61104.40    26325.26     7522.85    27256.29    140831.43    163112     4565.7      6.5
                 ILLINOIS            IL      1977     62200.83    26835.52     7669.60    27695.71    146285.62    168627     4655.5      6.2
                 ILLINOIS            IL      1978     63096.48    27300.22     8004.98    27791.28    150855.46    173767     4788.8      6.0
                 ILLINOIS            IL      1979     63642.81    27247.22     8491.35    27904.24    156751.98    173817     4880.0      5.5
                 ILLINOIS            IL      1980     64003.03    27237.54     9047.41    27718.08    163355.48    165722     4850.3      8.3
                 ILLINOIS            IL      1981     64549.30    27406.33     9523.64    27619.33    150688.85    166029     4732.3      8.5
                 ILLINOIS            IL      1982     65064.20    27568.50    10218.00    27277.69    154806.13    159778     4593.3     11.0
                 ILLINOIS            IL      1983     64751.99    27483.00    10436.04    26832.94    157095.80    160856     4530.6     11.0
                 ILLINOIS            IL      1984     64460.25    27590.53    10485.73    26383.99    159388.00    173602     4672.3      9.1
                 ILLINOIS            IL      1985     64487.38    27811.57    10532.95    26142.86    164794.50    178493     4755.3      9.0
                 ILLINOIS            IL      1986     64726.05    28101.57    10577.77    26046.72    161198.99    183849     4790.7      8.1
                 INDIANA             IN      1970     20813.65     8904.96     2814.86     9093.83     63646.79     56769     1849.0      5.0
                 INDIANA             IN      1971     21665.60     9140.25     2919.60     9605.74     65528.57     58540     1841.1      5.7
                 INDIANA             IN      1972     22368.04     9391.29     2929.94    10046.81     67722.97     61613     1921.9      4.5
                 INDIANA             IN      1973     23230.94     9696.29     2947.49    10587.15     70189.83     66534     2028.1      4.2
                 INDIANA             IN      1974     23652.30     9913.98     2918.14    10820.17     73448.90     64313     2031.4      5.9
                 INDIANA             IN      1975     23945.55    10038.12     2932.54    10974.88     76823.26     61200     1941.7      8.6
                 INDIANA             IN      1976     24259.12    10178.36     3017.66    11063.10     74736.15     65479     2023.8      6.1
                 INDIANA             IN      1977     24506.31    10409.08     3014.11    11083.12     77477.95     68832     2114.0      5.7
                 INDIANA             IN      1978     24639.62    10518.94     3026.38    11094.31     79763.07     71717     2205.5      5.7
                 INDIANA             IN      1979     24744.99    10536.00     3082.76    11126.23     82742.13     72047     2236.3      6.4
                 INDIANA             IN      1980     24799.68    10574.03     3142.24    11083.41     86012.21     67930     2129.5      9.6
                 INDIANA             IN      1981     24976.64    10619.58     3210.15    11146.90     80364.43     68135     2114.4     10.0
                 INDIANA             IN      1982     25108.79    10618.71     3297.40    11192.68     82361.44     64042     2028.0     12.0
                 INDIANA             IN      1983     24983.98    10558.11     3284.13    11141.74     83359.59     65211     2029.5     11.0
                 INDIANA             IN      1984     24835.60    10481.99     3311.04    11042.58     83946.98     70975     2122.3      8.6
                 INDIANA             IN      1985     24905.94    10532.65     3376.20    10997.08     85849.71     73392     2168.6      7.9
                 INDIANA             IN      1986     24924.85    10567.20     3377.17    10980.47     87053.98     75924     2221.8      6.8
                 IOWA                IA      1970     14728.51     8684.87     1377.50     4666.14     33400.46     29173      876.9      3.7
                 IOWA                IA      1971     15311.03     8926.99     1451.36     4932.67     34819.44     29312      882.7      4.2
                 IOWA                IA      1972     15657.48     9144.08     1508.06     5005.33     35846.90     31159      912.3      3.6
                 IOWA                IA      1973     16006.47     9424.40     1508.45     5073.62     37693.89     33798      961.3      2.9
                 IOWA                IA      1974     16159.20     9571.66     1518.00     5069.54     39460.57     33591      999.0      3.0
                 IOWA                IA      1975     16414.32     9677.48     1567.76     5169.08     41068.52     34378      998.7      4.3
                 IOWA                IA      1976     16766.52     9770.03     1682.16     5314.33     43868.88     35752     1036.9      4.0
                 IOWA                IA      1977     17166.76     9948.06     1822.71     5395.98     46649.69     37277     1079.2      4.0
                 IOWA                IA      1978     17407.43    10038.99     1972.05     5396.38     47977.54     39087     1119.2      4.0
                 IOWA                IA      1979     17722.68    10112.22     2114.49     5495.97     49653.76     39863     1131.7      4.1
                 IOWA                IA      1980     17928.92    10183.36     2148.16     5597.40     51530.31     38919     1109.9      5.8
                 IOWA                IA      1981     18050.52    10188.72     2154.55     5707.25     47985.77     40630     1088.6      6.9
                 IOWA                IA      1982     18141.76    10187.89     2132.80     5821.07     48698.55     37634     1041.9      8.5
                 IOWA                IA      1983     18240.50    10187.06     2184.02     5869.42     48731.50     35937     1040.4      8.1
                 IOWA                IA      1984     18203.48    10197.84     2252.53     5753.11     48741.81     38704     1074.7      7.0
                 IOWA                IA      1985     18288.61    10286.39     2319.88     5682.34     49781.83     39344     1074.2      8.0
                 IOWA                IA      1986     18436.18    10397.50     2393.84     5644.84     43209.95     40425     1073.8      7.0
                 KANSAS              KS      1970     11115.57     5988.83     1449.42     3677.32     33207.74     26311      678.8      4.8
                 KANSAS              KS      1971     11595.03     6098.10     1515.59     3981.34     34117.09     26950      677.8      5.5
                 KANSAS              KS      1972     11854.06     6226.46     1527.80     4099.80     34862.71     28330      717.5      4.0
                 KANSAS              KS      1973     12137.40     6368.52     1513.71     4255.17     36179.12     29486      763.3      3.1
                 KANSAS              KS      1974     12412.46     6488.52     1542.50     4381.44     37588.65     29506      790.0      3.5
                 KANSAS              KS      1975     12792.34     6542.80     1599.35     4650.19     38828.22     29530      801.2      4.6
                 KANSAS              KS      1976     13023.89     6628.42     1632.99     4762.47     41282.58     30655      834.8      4.2
                 KANSAS              KS      1977     13386.60     6753.55     1691.70     4941.35     41246.04     31032      871.0      4.1
                 KANSAS              KS      1978     13726.24     6830.98     1757.29     5137.97     42277.86     32232      912.5      3.0
                 KANSAS              KS      1979     14157.68     6863.58     1838.20     5455.90     43689.61     33680      946.8      3.4
                 KANSAS              KS      1980     14479.94     6919.83     1889.43     5670.69     45281.71     32844      944.7      4.5
                 KANSAS              KS      1981     14855.02     7018.71     1953.03     5883.27     47858.83     33707      949.7      4.2
                 KANSAS              KS      1982     15082.15     7104.16     2018.15     5959.84     49569.38     33287      921.4      6.3
                 KANSAS              KS      1983     15062.88     7150.68     2053.86     5858.35     49688.66     33638      921.6      6.1
                 KANSAS              KS      1984     15116.06     7177.68     2121.44     5816.94     49959.27     35582      960.8      5.2
                 KANSAS              KS      1985     15145.49     7222.85     2181.94     5740.71     51037.85     36560      967.9      5.0
                 KANSAS              KS      1986     15216.66     7310.79     2232.58     5673.29     51347.26     37783      984.8      5.4
                 KENTUCKY            KY      1970     16035.09     9021.31     1706.76     5307.01     30525.64     32182      910.1      5.0
                 KENTUCKY            KY      1971     16706.92     9280.45     1711.30     5715.17     31822.72     33276      931.5      5.5
                 KENTUCKY            KY      1972     17169.23     9606.59     1708.68     5853.96     32994.50     35351      988.3      4.8
                 KENTUCKY            KY      1973     17697.13    10008.41     1723.18     5965.55     34039.58     37305     1038.6      4.4
                 KENTUCKY            KY      1974     18263.75    10372.71     1773.45     6117.59     35741.89     37458     1065.9      4.5
                 KENTUCKY            KY      1975     18624.45    10505.77     1906.71     6211.97     37366.28     36717     1057.6      7.3
                 KENTUCKY            KY      1976     18945.26    10588.00     2019.97     6337.29     41587.55     39138     1103.1      5.6
                 KENTUCKY            KY      1977     19294.60    10701.70     2124.99     6467.91     42985.92     41137     1148.3      4.7
                 KENTUCKY            KY      1978     19572.86    10809.85     2169.76     6593.24     44402.66     43098     1209.9      5.2
                 KENTUCKY            KY      1979     19948.68    11017.87     2246.22     6684.60     46082.95     44188     1245.4      5.6
                 KENTUCKY            KY      1980     20585.01    11367.36     2363.19     6854.46     47878.44     42637     1210.0      8.0
                 KENTUCKY            KY      1981     21116.39    11721.16     2400.49     6994.74     47983.96     43595     1196.0      8.4
                 KENTUCKY            KY      1982     21308.34    11933.89     2390.23     6984.21     49141.96     42286     1160.7     11.0
                 KENTUCKY            KY      1983     21162.34    12008.09     2365.05     6789.20     49720.78     42668     1152.3     12.0
                 KENTUCKY            KY      1984     21032.34    12056.30     2350.25     6625.79     50066.78     45998     1213.8      9.3
                 KENTUCKY            KY      1985     21052.49    12171.63     2355.38     6525.48     51135.28     46753     1250.3      9.5
                 KENTUCKY            KY      1986     20959.34    12139.07     2338.37     6481.89     51911.38     47502     1274.1      9.3
                 LOUISIANA           LA      1970     19638.31     9891.38     2660.82     7086.12     97802.38     62666     1033.6      6.6
                 LOUISIANA           LA      1971     20066.64    10162.65     2734.98     7169.00     99483.90     64851     1055.9      7.0
                 LOUISIANA           LA      1972     20887.68    10392.20     2770.17     7725.31    100299.59     67439     1128.6      6.1
                 LOUISIANA           LA      1973     21408.20    10606.21     2733.22     8068.78    101336.45     67100     1176.1      6.0
                 LOUISIANA           LA      1974     21787.15    10805.89     2713.92     8267.34    103761.88     64919     1220.8      6.7
                 LOUISIANA           LA      1975     22175.86    10983.60     2721.50     8470.76    106564.55     63128     1249.5      7.4
                 LOUISIANA           LA      1976     22682.17    11273.56     2819.43     8589.19    100358.47     66338     1314.4      6.8
                 LOUISIANA           LA      1977     23389.41    11634.15     2937.22     8818.04    102931.73     68209     1364.6      7.0
                 LOUISIANA           LA      1978     24102.46    11981.51     3051.01     9069.94    106574.97     72221     1463.5      7.0
                 LOUISIANA           LA      1979     24446.12    12128.07     3108.48     9209.56    111082.30     73681     1517.4      6.7
                 LOUISIANA           LA      1980     24568.45    12107.67     3093.48     9367.30    117127.42     75312     1578.9      6.7
                 LOUISIANA           LA      1981     24789.76    12157.90     3067.08     9564.78    117911.54     77342     1630.5      8.4
                 LOUISIANA           LA      1982     25087.00    12262.86     3102.91     9721.23    124453.54     75743     1607.0     10.0
                 LOUISIANA           LA      1983     25422.96    12448.15     3123.98     9850.82    128610.28     72535     1565.2     12.0
